product_id,product_name,brand,category,primary_color,price,mrp,rating,gender,image_url,ajio_url
17951,Nike Unisex Knit Beanie Red Skull Cap,Nike,Caps,Red,999,1499,0.0,Unisex,17951.jpg,
30641,Nike Unisex Red Cap,Nike,Caps,Red,999,1499,0.0,Unisex,30641.jpg,
15259,ADIDAS Originals Women Top Ten low Sleek White Casual Shoes,ADIDAS,Casual Shoes,White,999,1499,0.0,Women,15259.jpg,
25420,Nike Men Lite Force Black & White Shoes,Nike,Casual Shoes,Black,999,1499,0.0,Men,25420.jpg,
54739,Vans Men Grey Del Norte Canvas Shoes,Vans,Casual Shoes,Grey,999,1499,0.0,Men,54739.jpg,
6497,Red Tape Men's Leather Brown Shoe,Red,Casual Shoes,Red,999,1499,0.0,Men,6497.jpg,
15502,Carlton London Women Casual Brown Casual Shoes,Carlton,Casual Shoes,Brown,999,1499,0.0,Women,15502.jpg,
35465,Franco Leone Men Blue Shoes,Franco,Casual Shoes,Blue,999,1499,0.0,Men,35465.jpg,
26664,Puma Men Metamostro Black Shoes,Puma,Casual Shoes,Black,999,1499,0.0,Men,26664.jpg,
38544,Puma Men Black Suede Archive Eco Shoes,Puma,Casual Shoes,Black,999,1499,0.0,Men,38544.jpg,
7041,Numero Uno Black Men's Shoe,Numero,Casual Shoes,Black,999,1499,0.0,Men,7041.jpg,
36476,Spinn Men Agile Black Shoes,Spinn,Casual Shoes,Black,999,1499,0.0,Men,36476.jpg,
35677,U.S. Polo Assn. Men Brown Leather Casual Shoes,U.S.,Casual Shoes,Brown,999,1499,0.0,Men,35677.jpg,
17033,Gas Men Europa Casual Shoes,Gas,Casual Shoes,,999,1499,0.0,Men,17033.jpg,
15512,Rockport Men Slatkin Brown Casual Shoes,Rockport,Casual Shoes,Brown,999,1499,0.0,Men,15512.jpg,
44746,Globalite Men Olive Sparta Shoes,Globalite,Casual Shoes,Olive,999,1499,0.0,Men,44746.jpg,
25452,Nike Men Prowl White Casual Shoes,Nike,Casual Shoes,White,999,1499,0.0,Men,25452.jpg,
46117,ADIDAS Unisex Red Neo Shell Comic Shoes,ADIDAS,Casual Shoes,Red,999,1499,0.0,Unisex,46117.jpg,
9130,Puma Men Osu NM Grey Casual Shoes,Puma,Casual Shoes,Grey,999,1499,0.0,Men,9130.jpg,
7267,Rockport Men Brown Leather Casual Shoes,Rockport,Casual Shoes,Brown,999,1499,0.0,Men,7267.jpg,
44503,Gliders Women Grey & Orange Shoes,Gliders,Casual Shoes,Grey,999,1499,0.0,Women,44503.jpg,
43878,Puma Men Brown Terrae Mid Africa Shoes,Puma,Casual Shoes,Brown,999,1499,0.0,Men,43878.jpg,
11816,Playboy Men Casual White Casual Shoes,Playboy,Casual Shoes,White,999,1499,0.0,Men,11816.jpg,
38770,Woodland Men Olive Shoes,Woodland,Casual Shoes,Olive,999,1499,0.0,Men,38770.jpg,
35660,U.S. Polo Assn. Men Black Shoes,U.S.,Casual Shoes,Black,999,1499,0.0,Men,35660.jpg,
23855,ADIDAS Men Yellow Color Blast Casual Shoes,ADIDAS,Casual Shoes,Yellow,999,1499,0.0,Men,23855.jpg,
21079,Clarks Men Supa Step Brown Casual Shoe,Clarks,Casual Shoes,Brown,999,1499,0.0,Men,21079.jpg,
24302,Converse Unisex Blue Casual Shoes,Converse,Casual Shoes,Blue,999,1499,0.0,Unisex,24302.jpg,
4133,Skechers Men's Sparta White Shoe,Skechers,Casual Shoes,White,999,1499,0.0,Men,4133.jpg,
32952,ADIDAS Neo Men Court Sequence Black Shoes,ADIDAS,Casual Shoes,Black,999,1499,0.0,Men,32952.jpg,
55785,Converse Men Navy Casual Shoes,Converse,Casual Shoes,Navy,999,1499,0.0,Men,55785.jpg,
13066,Numero Uno Men White Casual Shoes,Numero,Casual Shoes,White,999,1499,0.0,Men,13066.jpg,
20707,Buckaroo Men Melania Black Casual Shoes,Buckaroo,Casual Shoes,Black,999,1499,0.0,Men,20707.jpg,
20716,Red Tape Men Brown Leather Casual Shoes,Red,Casual Shoes,Red,999,1499,0.0,Men,20716.jpg,
35670,U.S. Polo Assn. Men Navy Blue Shoes,U.S.,Casual Shoes,Blue,999,1499,0.0,Men,35670.jpg,
15220,ADIDAS Originals Men Adi T Tennis Brown Casual Shoes,ADIDAS,Casual Shoes,Brown,999,1499,0.0,Men,15220.jpg,
22251,ID Men Black Casual Shoes,ID,Casual Shoes,Black,999,1499,0.0,Men,22251.jpg,
4019,ADIDAS Unisex Check Can MW Blue Shoe,ADIDAS,Casual Shoes,Blue,999,1499,0.0,Unisex,4019.jpg,
30258,Red Tape Men Brown Shoes,Red,Casual Shoes,Red,999,1499,0.0,Men,30258.jpg,
11842,Playboy Men Casual Beige Casual Shoes,Playboy,Casual Shoes,Beige,999,1499,0.0,Men,11842.jpg,
50753,Red Chief Men Mushroom Brown Shoes,Red,Casual Shoes,Red,999,1499,0.0,Men,50753.jpg,
11951,Ganuchi Men Blue Shoes,Ganuchi,Casual Shoes,Blue,999,1499,0.0,Men,11951.jpg,
33689,Cobblerz Men White & Blue Casual Shoes,Cobblerz,Casual Shoes,White,999,1499,0.0,Men,33689.jpg,
43379,Reebok Men White Mamba Casual Shoes,Reebok,Casual Shoes,White,999,1499,0.0,Men,43379.jpg,
22819,Woodland Men Brown Casual Shoes,Woodland,Casual Shoes,Brown,999,1499,0.0,Men,22819.jpg,
2540,Numero Uno Men's Casual Black Leatherette Shoe,Numero,Casual Shoes,Black,999,1499,0.0,Men,2540.jpg,
22237,ID Men Red Shoes,ID,Casual Shoes,Red,999,1499,0.0,Men,22237.jpg,
35673,U.S. Polo Assn. Men Navy Blue Shoes,U.S.,Casual Shoes,Blue,999,1499,0.0,Men,35673.jpg,
24254,Numero Uno Men White Casual Shoes,Numero,Casual Shoes,White,999,1499,0.0,Men,24254.jpg,
35531,Enroute Teens Girls Red Ballet Flats,Enroute,Casual Shoes,Red,999,1499,0.0,Women,35531.jpg,
21744,Vans Unisex Classic Slip-On Black Casual Shoe,Vans,Casual Shoes,Black,999,1499,0.0,Unisex,21744.jpg,
59944,Vans Men Black & Cream Casual Shoes,Vans,Casual Shoes,Black,999,1499,0.0,Men,59944.jpg,
49381,Vans Men Navy Blue Versa Casual Shoes,Vans,Casual Shoes,Blue,999,1499,0.0,Men,49381.jpg,
34747,Puma Women Soleil Cat White Shoes,Puma,Casual Shoes,White,999,1499,0.0,Women,34747.jpg,
22826,Woodland Men Brown Casual Shoes,Woodland,Casual Shoes,Brown,999,1499,0.0,Men,22826.jpg,
3695,Lotto Men's Rio Velcro White Indigo Shoe,Lotto,Casual Shoes,White,999,1499,0.0,Men,3695.jpg,
57521,Provogue Men Brown Casual Shoes,Provogue,Casual Shoes,Brown,999,1499,0.0,Men,57521.jpg,
8210,Red Tape Men's Casual Brown Shoe,Red,Casual Shoes,Red,999,1499,0.0,Men,8210.jpg,
5429,Fila Men's Cruise Black Shoe,Fila,Casual Shoes,Black,999,1499,0.0,Men,5429.jpg,
22828,Woodland Men Black Casual Shoes,Woodland,Casual Shoes,Black,999,1499,0.0,Men,22828.jpg,
6804,Timberland Men's Driver Venetian Brown Shoe,Timberland,Casual Shoes,Brown,999,1499,0.0,Men,6804.jpg,
